transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
x equals minus pi over three,$x = -\frac{\pi}{3}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,x equals minus pi over 3.,x equals minus pi over 3.
x equals 7 pi over 6,$x = 7\pi/6$,https://www.youtube.com/watch?v=Bb-bgJdOqig,x equals 7 pi were six problem seven Number on increases,x equals 7 pi over 6 pi.
pi over 2 minus pi over 3 is pi over 6,$\pi/2 - \pi/3 = \pi/6$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pi over 2 minus pi over 3 is pi over 6.,Pi over 2 minus pi over 3 is pi over 6.
negative sine x times x squared times the sine x,$- \sin x \cdot x^{2} \cdot \sin x$,https://www.youtube.com/watch?v=55ncRlBZstA,negative sine x times x squared times the sine x here.,Negative sine x times x squared times the sine x here.
cosine x cosine x is cosine squared x,$\cos x \cos x = \cos^{2}x$,https://www.youtube.com/watch?v=55ncRlBZstA,cosine x cosine x is cosine squared x.,Cosine x cosine x is cosine squared x.
minus x squared sine squared x,$ -x^2 \sin^{2}x$,https://www.youtube.com/watch?v=55ncRlBZstA,minus x squared sine squared x.,minus x squared sine squared x.
dy dx times dx dw times dw d theta,$ \frac{dy}{dx} \times \frac{dx}{dw} \times \frac{dw}{d\theta} $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,"d y dx times dx, dw times dw d theta.",dy dx times dx dw times dw d theta.
dw d theta is four theta to the third,$\frac{dw}{d\theta} = 4\theta^{3}$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,"DW, D theta is 4 theta to the third.",dw d theta is 4 theta to the third.
cosine of theta to the fourth,$\cos(\theta^{4})$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,The cosine of theta to the fourth.,The cosine of theta to the fourth.
two cosine of theta to the fourth times negative sine,$2\cos(\theta^{4}) (-\sin) $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,2 cosine of theta to the fourth times negative sine.,2 cosine of theta to the fourth times negative sine.
cosine of pi over two is equal to zero,$\cos(\pi/2) = 0$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,Cosine of pi over 2 is equal to 0.,Cosine of pi over 2 is equal to 0.
theta to the fourth equals pi over two,$ \theta^{4} = \frac{\pi}{2} $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,Thaided to the fourth equals pi over two.,Theta to the fourth equals pi over 2.
theta is equal to pi over 2 to the 1 4th,$\theta = (\frac{\pi}{2}) ^ \frac{1}{4}$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,theta is equal to pi over 2 to the 1-4th.,And theta is equal to pi over 2 to the 1 fourth.
y cubed plus x cubed equals three xy,$y^{3} + x^{3} = 3xy$,https://www.youtube.com/watch?v=fK6cu99OSEU,y cubed plus x cubed equals 3xy.,y cubed plus x cubed equals 3xy.
four thirds cubed plus two thirds cubed is equal to three times two thirds times four thirds,$(4/3)^{3}+(2/3)^{3}=3\times(2/3)\times(4/3)$,https://www.youtube.com/watch?v=fK6cu99OSEU,4 thirds cubed plus 2 thirds cubed is equal to 3 times 2 thirds times 4 thirds.,4 thirds cubed plus 2 thirds cubed is equal to 3 times 2 thirds times 4 thirds.
y minus x squared over y squared minus x,$ \frac{y - x^{2}} {y^{2} - x}$,https://www.youtube.com/watch?v=fK6cu99OSEU,y minus x squared over y squared minus x.,y minus x squared over y squared minus x.
6 minus 16 over 4 minus 12,$\frac{6 - 16}{4 - 12}$,https://www.youtube.com/watch?v=fK6cu99OSEU,6 minus 16 over 4 minus 12.,6 minus 16 over 4 minus 12.
d over dx of tan x is equal to secant squared of x,$\frac{\mathrm{d}}{\mathrm{dx}}(\tan x) = \mathrm{\sec^2(x)}$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,The d over dx of tan x is equal to c-cat squared of x.,d over dx of tan x is equal to secant squared of x.
pi over two,$\frac{\pi}{2}$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,High over two.,Pi over 2.
y equals arctan x,$y = \arctan x$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,y equals arc tan x.,y equals arctan x.
dy dx is equal to minus 1 divided by sine y,$\frac{dy}{dx} = -\frac{1}{\sin y}$,https://www.youtube.com/watch?v=cdRMY39EYbs,d x is equal to minus 1 divided by sine y.,dy dx is equal to minus 1 divided by sine y.
square root of 1 minus x squared,$\sqrt{1 - x^{2}}$,https://www.youtube.com/watch?v=cdRMY39EYbs,squared of 1 minus x squared.,The square root of 1 minus x squared.
f of x is equal to x to the pi plus pi to the x,$f(x) = x^{\pi} + \pi^{x}$,https://www.youtube.com/watch?v=wezQdmwolMU,f of x is equal to x to the pi plus pi to the x.,f of x is equal to x to the pi plus pi to the x.
g of x is equal to natural log of cosine of x,$g(x) = \ln(\cos(x))$,https://www.youtube.com/watch?v=wezQdmwolMU,G of X is equal to natural log of cosine of X.,G of x is equal to natural log of cosine of x.
pi times x to the pi minus 1,$\pi x^{\pi - 1}$,https://www.youtube.com/watch?v=wezQdmwolMU,pi times x to the pi minus 1.,Pi times x to the pi minus 1.
x times pi to the x minus 1,$x \cdot \pi^{x-1}$,https://www.youtube.com/watch?v=wezQdmwolMU,x times pi to the x minus 1.,x times pi to the x minus 1.
1 over cosine x,$\frac{1}{\cos x}$,https://www.youtube.com/watch?v=wezQdmwolMU,1 over cosine x.,1 over cosine x.
e to the x squared,$\mathrm{e}^{x^{2}}$,https://www.youtube.com/watch?v=wezQdmwolMU,e to the x squared.,e to the x squared
natural log of e to the x squared,$\ln(e^{x^{2}})$,https://www.youtube.com/watch?v=wezQdmwolMU,natural log of e to the x squared.,natural log of e to the x squared.
x squared times natural log of e,$x^{2}\cdot\ln e$,https://www.youtube.com/watch?v=wezQdmwolMU,x squared times natural log of e.,x squared times natural log of e.
natural log of e is equal to 1,$\ln(e)=1$,https://www.youtube.com/watch?v=wezQdmwolMU,The natural log of E is equal to 1.,Natural log of E is equal to 1.
natural log of m times n is equal to the natural log of m plus natural log of n,$\ln(mn) = \ln(m) + \ln(n)$,https://www.youtube.com/watch?v=9YgOmJdom6o ,The natural log of m times n is equal to the natural log of m plus natural log of n.,So natural log of m times n is equal to natural log of m plus natural log of n.
e to the a equals m,$e^\mathrm{a} = m$,https://www.youtube.com/watch?v=9YgOmJdom6o ,e to the a equals m.,E to the A equals M.
a is equal to natural log of m,$a=\ln m$,https://www.youtube.com/watch?v=9YgOmJdom6o ,k is equal to natural log of m.,A is equal to natural log of m.
natural log of e to the a plus b,$\ln(e^{a+b})$,https://www.youtube.com/watch?v=9YgOmJdom6o ,This is a natural log of e to the a plus b.,This is the natural log of e to the a plus b.
natural log of e to the x is x,$\ln(e^{x}) = x$,https://www.youtube.com/watch?v=9YgOmJdom6o ,Natural log of e to the x is x.,Natural log of e to the x is x.
1 half natural log x plus 1 half,$\frac{1}{2}\ln x + \frac{1}{2}$,https://www.youtube.com/watch?v=9YgOmJdom6o ,1 half natural log x plus 1 half,One-half natural log x plus one-half natural log x.
1 over 2x plus 1 over 2 times x plus 4,$\frac{1}{2x} + \frac{1}{2(x + 4)}$,https://www.youtube.com/watch?v=9YgOmJdom6o ,1 over 2x plus 1 over 2 times x plus 4.,1 over 2x plus 1 over 2 times x plus 4.
e to the x plus e to the minus x,$e^{x} + e^{-x}$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the x plus e to the minus x divided.,e to the x plus e to the minus x divided
1 plus x squared,$1 + x^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,1 plus x squared.,1 plus x squared.
1 plus 1 over 2,$1 + \frac{1}{2}$,https://www.youtube.com/watch?v=er_tQOBgo-I,1 plus 1 over 2 so that,1 plus 1 over 2. So that's.
e to the x minus e to the minus x over 2,$e^{x} - e^{-x} \over 2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the x minus e to the minus x over 2.,e to the x minus e to the minus x over 2.
x squared plus y squared equals 1,$x^{2} + y^{2} = 1$,https://www.youtube.com/watch?v=er_tQOBgo-I,x squared plus y squared equals 1.,x squared plus y squared equals 1.
x squared minus y squared,$x^{2} - y^{2}$,https://www.youtube.com/watch?v=er_tQOBgo-I,x squared minus y squared.,x squared minus y squared.
cosh squared u,$\cosh^{2}u$,https://www.youtube.com/watch?v=er_tQOBgo-I,Theופjlkladkin,cosh squared u
e to the u plus e to the minus u over 2 quantity squared,$(\frac{e^{u} + e^{-u}}{2})^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the u plus e to the minus u over 2 quantity squared.,e to the u plus e to the minus u over 2 quantity squared.
e to the u minus e to the minus u over 2 quantity squared,$( \frac {e^{u} - e^{-u}} {2} )^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the u minus e to the minus u over 2 quantity squared.,e to the u minus e to the minus u over 2 quantity squared. And
2 times e to the u times e to the minus u,$2 e^{u}e^{-u}$,https://www.youtube.com/watch?v=er_tQOBgo-I,"two times e to the u times e to the minus u, but e to the","2 times e to the u times e to the minus u, but e to the-"
2 plus e to the minus 2u minus e to the 2u minus 2,$2 + e^{-2u} - e^{2u} - 2$,https://www.youtube.com/watch?v=er_tQOBgo-I,2 plus e to the minus 2u minus e to the 2u minus 2u minus 2u.,2 plus e to the minus 2u minus e to the 2u minus 2.
w of x plus one,$\displaystyle w(x) + 1$,https://www.youtube.com/watch?v=8gGbViZjoRw,W of x plus 1.,W of x plus 1.
w of x plus 2 times e to the w of x ,$w(x) + 2e^{w(x)}$ ,https://www.youtube.com/watch?v=8gGbViZjoRw,W of x plus 2 times e to the w of x.,W of x plus 2 times e to the w of x.
1 over w of x plus 2 times e to the w of x,$\frac{1}{w(x)} + 2e^{w(x)}$,https://www.youtube.com/watch?v=8gGbViZjoRw,1 over w of x plus 2 times e to the w of x.,1 over w of x plus 2 times e to the w of x.
w of one plus two times e to the w of one,$w(1) + 2 e^{w(1)}$,https://www.youtube.com/watch?v=8gGbViZjoRw,W of 1 plus 2 times e to the W of 1.,W of 1 plus 2 times e to the w of 1.
1 half times x minus 1,$\frac{1}{2}(x - 1)$,https://www.youtube.com/watch?v=8gGbViZjoRw,1 1 half times x minus 1.,1 half times x minus 1.
1 over x0 plus delta x,$ \frac{1}{x_{0} +\Delta x}$,https://www.youtube.com/watch?v=7K1sB05pE0A,1 over x0 plus delta x.,1 over x0 plus delta x.
minus 1 over x0 plus delta x times x0,$\displaystyle-\frac{1}{x_{0} + \Delta x x_{0}}$,https://www.youtube.com/watch?v=7K1sB05pE0A,minus 1 over x0 plus delta x times x0.,Minus 1 over x0 plus delta x times x0.
minus 1 over 3 plus delta x times 3,$-\frac{1}{3} + \Delta x \times 3$,https://www.youtube.com/watch?v=7K1sB05pE0A,minus 1 over 3 plus delta x times 3.,Minus 1 over 3 plus delta x times 3.
minus 1 over x0 squared x minus x0,$-\frac{1}{x_{0}^{2}}(x-x_{0})$,https://www.youtube.com/watch?v=7K1sB05pE0A,"minus 1 over x0 squared, x minus x0.",Minus 1 over x0 squared. x minus x0.
delta f is x plus delta x to the n minus x to the n divided by delta x,$\displaystyle \Delta f = \frac{(x + \Delta x)^{n} - x^{n}}{\Delta x}$,https://www.youtube.com/watch?v=7K1sB05pE0A,delta f is x plus delta x to the n minus x to the n divided by delta x.,Delta f is x plus delta x to the n minus x to the n divided by delta x.
x to the n plus n x to the n minus 1 delta x,$x^{n}+nx^{n-1}\Delta x$,https://www.youtube.com/watch?v=7K1sB05pE0A,x to the n plus n x to the n minus 1 delta x.,x to the n plus n x to the n minus 1 delta x.
n x to the n minus one,$nx^{n-1}$,https://www.youtube.com/watch?v=7K1sB05pE0A,and x to the n minus 1.,And x to the n minus 1.
minus 1 over x squared,$-\frac{1}{x^{2}}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,minus 1 over x squared.,Minus 1 over x squared.
x plus 3 over x squared plus 1,$\frac{x + 3}{x^{2} + 1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,x plus 3 over x squared plus 1.,x plus 3 over x squared plus 1.
4 plus 3 divided by 4 squared plus 1,$\frac{4+3}{4^{2}+1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,4 plus 3 divided by 4 squared plus 1.,4 plus 3 divided by 4 squared plus 1.
1 minus cosine x over x,$\frac{1 - \cos x}{x}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,1 minus cosine x over x.,1 minus cosine x over x.
the limit of 1 minus cosine x divided by x x goes to 0 is 0,$\lim_{x \to 0} \frac{1 - \cos x}{x} = 0$,https://www.youtube.com/watch?v=ryLdyDrBfvI,"The limit of 1 minus cosine x divided by x, x goes to 0, is 0.","The limit of 1 minus cosine x divided by x, x goes to 0, is 0."
limit as x goes to x0 of f of x is equal to f of x0,$\lim_{x\to x_{0}}f(x)=f(x_{0})$,https://www.youtube.com/watch?v=ryLdyDrBfvI,The limit as x goes to x0 of f of x is equal to f of x0.,The limit as x goes to x0 of f of x is equal to f of x0.
sine a cos b plus cos a sin b,$\sin(a)\cos(b)+\cos(a)\sin(b)$,https://www.youtube.com/watch?v=kCPVBl953eY,sine a cos b plus cos a sine b.,Sine a cos b plus cos a sine b.
cosine delta x minus 1 divided by delta x,$\cos\Delta x - 1 \over \Delta x$,https://www.youtube.com/watch?v=kCPVBl953eY,cosine delta x minus 1 divided by delta x.,Cosine delta x minus 1 divided by delta x.
minus cosine x divided by delta x,$-\frac{\cos x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,minus cosine x divided by delta x.,minus cosine x divided by delta x.
sine delta x divided by delta x,$\frac{\sin\Delta x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,sine delta x divided by delta x.,Sine delta x divided by delta x.
cosine delta x minus 1 divided by delta x,$\frac{\cos\Delta x - 1}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,cosine delta x minus 1 divided by delta x.,Cosine delta x minus 1 divided by delta x.
the limit as delta x goes to 0 of sine delta x over delta x,$\lim_{\Delta x\to 0} \frac{\sin \Delta x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,The limit is delta x goes to 0 of sine delta x over delta x.,The limit as delta x goes to 0 of sine delta x over delta x.
delta y over delta theta,$\frac{\Delta y}{\Delta \theta}$,https://www.youtube.com/watch?v=kCPVBl953eY,"Delta Y, over delta theta.",delta y over delta theta.
u prime v minus u v prime,$u^{\prime}v-uv^{\prime}$,https://www.youtube.com/watch?v=kCPVBl953eY,You prime the minus UV prime.,u' v minus u v'.
n x to the n minus 1,$nx^{n-1}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,And next to the N-1.,And x to the n minus 1.
x to the n times sine of x,$x^{n}\sin(x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,x to the n times sine of x.,x to the n times sine of x.
u times v of x plus delta x,$uv(x + \Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u times the of x plus delta x.,u times v of x plus delta x.
delta of uv divided by delta x,$\frac{\Delta (uv)}{\Delta x}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,delta of uv divided by delta x.,Delta of uv divided by delta x.
delta u divided by delta x times v of x plus delta x,$\frac{\Delta u}{\Delta x}\cdot v(x+\Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,delta u divided by delta x times v of x plus delta x.,V delta u divided by delta x times V of x plus delta x.
u of x plus delta x times v of x plus delta x,$u(x+\Delta x)v(x+\Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u of x plus delta x times v of x plus delta x.,u of x plus delta x times v of x plus delta x.
u prime v minus uv prime divided by v squared,$u^{\prime}v - uv^{\prime} \over v^{2}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u prime v minus u v prime divided by v squared.,u'v uv' divided by v squared.
v plus delta v,$v+\Delta v$,https://www.youtube.com/watch?v=4sTKcvYMNxk,V plus delta V.,V plus delta V.
v to the minus 2 v prime minus v prime divided by v squared,$v^{-2}v^{\prime} - \frac{v^{\prime}}{v^2}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,V to the minus 2 V prime. Minus V prime divided by V squared.,"V to the minus 2, V prime. Minus V prime divided by V squared."
10 times sine of t raised to the 9th power,$10 \sin^{9}(t)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,10 times sign a T raised to the 9th power.,10 times sine of t raised to the ninth power.
sine to the 9th of t cosine of t,$\sin^{9}(t)\cos(t)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,sine to the ninth of t cosine of t.,to the ninth of t cosine of t.
D cubed x to the n,$D^{3}x^{n}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,d cubed x to the n is,D cubed x to the n is.
n times n minus 1,$n\times (n-1)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,n times n minus 1.,n times n minus 1.
D to the n plus 1 applied to x to the n,$\mathcal{D}^{n+1}(x^{n})$,https://www.youtube.com/watch?v=4sTKcvYMNxk,D to the n plus 1 apply to x to the n.,"D to the n plus 1, apply to x to the n."
length A squared equals length B squared plus one,${a}^{2}={b}^{2} + 1$,https://www.youtube.com/watch?v=PxCxlsl_YwY,length a squared equals length b squared plus 1.,Length a squared equals length b squared plus one.
length of A is square root of length B squared plus one,$\mathrm{|A|} = \sqrt{\mathrm{|B|^{2} + 1}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,length of a is square root of length b squared plus 1.,Length of A is square root of length b squared plus one.
square root of 13 plus one is square root of 14,$\sqrt{{13}+1}=\sqrt{14}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The square root of 13 plus 1 is square root of 14.,The square root of 13 plus 1 is square root of 14.
the length of a is the square root of a one squared plus a two squared plus a three squared,$|a|=\sqrt{a_{1}^{2}+a_{2}^{2}+a_{3}^{2}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The length of a is the square root of a1 squared plus a2 squared plus a3 squared.,The length of a is the square root of a1 squared plus a2 squared plus a3 squared.
 a dot b minus b dot a plus b dot b,$a\cdot b-b\cdot a+b\cdot b$,https://www.youtube.com/watch?v=PxCxlsl_YwY,A dot B minus B dot A plus B dot B.,a dot b minus b dot a plus b dot b.
a dot a is length a squared,$a\cdot a = |a|^2$,https://www.youtube.com/watch?v=PxCxlsl_YwY,A dot A is length A squared.,a dot a is length a squared.
cosine theta is PQ dot PR over length PQ length PR,$\cos(\theta) = \frac{{\mathsf{PQ} \cdot \mathsf{PR}}}{{|\mathsf{PQ}| \cdot |\mathsf{PR}|}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The cosine theta is pq.pr over length pq.,cosine theta is pq.pr over length pq length pr.
minus one squared plus one squared plus zero squared square root,$\sqrt{(-1)^{2} + 1^{2} + 0^{2}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,"minus 1 squared, plus 1 squared, plus 0 squared, square root.","minus one squared plus one squared plus zero squared, square root."
x plus two y plus three z equals zero,$x+2y+3z=0$,https://www.youtube.com/watch?v=PxCxlsl_YwY,x plus 2y plus 3z equals 0.,x plus 2y plus 3z equals 0.
OP dot A equals zero,$\mathsf{OP}\cdot \mathsf{A}=0$,https://www.youtube.com/watch?v=PxCxlsl_YwY,O p dot a equals 0.,OP dot A equals zero.
x times one plus y times two plus z times three,$x\cdot 1 + y\cdot 2 + z\cdot 3$,https://www.youtube.com/watch?v=PxCxlsl_YwY,x times 1 plus y times 2 plus z times 3.,x times one plus y times two plus z times three.
x equals r cosine theta,$x=r\cos \theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,x equals r cosine theta.,x equals r cosine theta.
y equals r sine theta,$y=r\sin \theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,Y equals of Westerners.,y equals r sine theta.
one minus x squared minus y squared,$1-x^{2}-y^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,1 minus x square minus y squared.,1 minus x squared minus y squared.
r squared cosine squared theta,$r^{2}\cos^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,UCF Valley vet,r square cosine square theta.
r squared sine squared theta,$r^{2}\sin^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,then pass through here deeply,r squared sine squared.
the integral from zero to pi over two integral from zero to one of one minus r squared r dr d theta,$\displaystyle\int_{0}^{\frac{\pi}{2}}\int_{0}^{1}(1-r^{2})r dr d\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,"integral from 0 to pi over 2, integral from 0 to 1 of 1 minus r squared of 1 minus r squared of d r d theta.","integral from zero to pi over two, integral from zero to one of one minus r squared r dr d theta."
r minus r cubed,$(r-r^{3})$,https://www.youtube.com/watch?v=60e4hdCi1D4,R minus R cubed.,r minus r cubed.
r to the four over four, $\frac{r^4}{4}$,https://www.youtube.com/watch?v=60e4hdCi1D4,Arming out to the fore cryofre,out of the four over four.
