transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE,MathSpeech_LaTeX_result_medium
integral from minus infinity to infinity e to the minus y squared dy,$\displaystyle \int_{-\infty}^{\infty} e^{-y^2} dy$,https://www.youtube.com/watch?v=zUEuKrxgHws ,"integral from minus infinity to infinity, e to the minus y squared dy.",Integral from minus infinity to infinity. e to the minus y squared dy.,$\displaystyle\int_{-\infty}^{\infty}e^{-y^{2}}dy$
pi x2 squared minus x1 squared,$\pi ({x_2}^{2} - {x_1}^{2})$,https://www.youtube.com/watch?v=zUEuKrxgHws ,pi x2 squared minus x1 squared.,Pi x2 squared minus x1 squared.,$\pi:x_{2}^{2}-x_{1}^{2}$
h of x equal to sine of x plus square root of 3 times cosine of x,$h(x) = \sin(x) + \sqrt{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,h of x equal to sine of x plus squared of three times cosine of x.,h of x equal to sine of x plus square root of 3 times cosine of x.,$H(x)=2\sin(x)+\sqrt{3}\cos(x)$
cosine x minus square root of 3 times sine x,$\cos(x) - \sqrt{3} \sin(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,cosine x minus squared of 3 times sine x.,cosine x minus square root of 3 times sine x.,$\cosx-\sqrt{3}\sinx$
square root of 3 times tan x,$\sqrt{3} \tan(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,squared of 3 times tan x.,Square root of 3 times tan x.,$\sqrt[3]{tanx}$
tan of x is equal to one divided by square root of three,$\tan(x) = \frac{1}{\sqrt{3}}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,tan of x is equal to 1 divided by square root of 3.,Tan of x is equal to 1 divided by square root of 3.,$\operatorname{Tan}(x):=1/\sqrt{3}$
pi over 6,$\frac{\pi}{6}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pile over six.,pi over 6.,$\frac{\pi}{6}$
pi over 6 plus pi,$\frac{\pi}{6} + \pi$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pi over six plus pies.,Pi over 6 plus pi is...,$\frac{\pi}{6}+\piz$
minus five pi over six,$-\frac{5\pi}{6}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,minus 5 pi over 6.,minus 5 pi over 6.,$-\frac{5\pi}{6}$
pi over 6 minus pi,$\frac{\pi}{6} - \pi$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pile over 6 minus pi.,pi over 6 minus pi.,$\frac{\pi}{6}-\pi$
sine of x plus square root of 3 times cosine x,$\sin(x) + \sqrt{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,It's sine of x plus square root of three times cosine x.,The sine of x plus square root of 3 times cosine x.,$\sin(x)+\sqrt{3}\cos(x)$
h of x equals two times one-half sine x plus square root of three over two,$h(x) = 2 \frac{1}{2} \sin(x) + \frac{\sqrt{3}}{2}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,h of x equals 2 times 1 half sin x plus square root of 3 over 2.,h of x equals 2 times 1 half sine x plus square root of 3 over 2.,$h(x)=2\frac{1}{2}\sinx+\frac{\sqrt{3}}{2}$
pi over 3 sine x plus sine pi over 3 cosine x,$\displaystyle \frac{\pi}{3} \sin(x) + \sin\frac{\pi}{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,pi over 3 sine x plus sine pi over 3 cosine x.,pi over 3 sine x plus sine pi over 3 cosine x.,$\displaystyle\frac{\pi}{3}\sinx+\sin\frac{\pi}{3}\cosx$
two times sine of x plus pi over three,$2\sin(x) + \frac{\pi}{3}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,2 times sine of x plus pi over 3.,2 times sine of x plus pi over 3.,$2\sin(x+\frac{\pi}{3})$
x equals minus pi over three,$x = -\frac{\pi}{3}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,x equals minus pi over 3.,x equals minus pi over 3.,$x=a-\frac{\pi}{3}$
x equals 7 pi over 6,$x = 7\pi/6$,https://www.youtube.com/watch?v=Bb-bgJdOqig,x equals 7 pi were six problem seven Number on increases,x equals 7 pi over 6 pi.,"$x=7\pi/6,\pi$"
pi over 2 minus pi over 3 is pi over 6,$\pi/2 - \pi/3 = \pi/6$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pi over 2 minus pi over 3 is pi over 6.,Pi over 2 minus pi over 3 is pi over 6.,$\pi/2-\pi/3\asymp\pi/6$
negative sine x times x squared times the sine x,$- \sin x \cdot x^{2} \cdot \sin x$,https://www.youtube.com/watch?v=55ncRlBZstA,negative sine x times x squared times the sine x here.,Negative sine x times x squared times the sine x here.,"$-\sinx\cdotx^{2}\cdot\sinx\,\mathrm{year}$"
cosine x cosine x is cosine squared x,$\cos x \cos x = \cos^{2}x$,https://www.youtube.com/watch?v=55ncRlBZstA,cosine x cosine x is cosine squared x.,Cosine x cosine x is cosine squared x.,$\cosx\cosx=\cos^{2}x$
minus x squared sine squared x,$ -x^2 \sin^{2}x$,https://www.youtube.com/watch?v=55ncRlBZstA,minus x squared sine squared x.,minus x squared sine squared x.,$-x^{2}\sin^{2}x$
dy dx times dx dw times dw d theta,$ \frac{dy}{dx} \times \frac{dx}{dw} \times \frac{dw}{d\theta} $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,"d y dx times dx, dw times dw d theta.",dy dx times dx dw times dw d theta.,$dydx\timesdxdw\timesdwd\theta$
dw d theta is four theta to the third,$\frac{dw}{d\theta} = 4\theta^{3}$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,"DW, D theta is 4 theta to the third.",dw d theta is 4 theta to the third.,"$dw,d\theta\text{is}4,\theta^{\text{src}}$"
cosine of theta to the fourth,$\cos(\theta^{4})$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,The cosine of theta to the fourth.,The cosine of theta to the fourth.,$\cos(\theta^{4})$
two cosine of theta to the fourth times negative sine,$2\cos(\theta^{4}) (-\sin) $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,2 cosine of theta to the fourth times negative sine.,2 cosine of theta to the fourth times negative sine.,$2\cos(\theta^{4})(-\sin)$
cosine of pi over two is equal to zero,$\cos(\pi/2) = 0$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,Cosine of pi over 2 is equal to 0.,Cosine of pi over 2 is equal to 0.,$\cos(\pi/2)~{}=~{}0$
theta to the fourth equals pi over two,$ \theta^{4} = \frac{\pi}{2} $,https://www.youtube.com/watch?v=aeQA5d3gZTI ,Thaided to the fourth equals pi over two.,Theta to the fourth equals pi over 2.,$\theta^{4}=\frac{\pi}{2}$
theta is equal to pi over 2 to the 1 4th,$\theta = (\frac{\pi}{2}) ^ \frac{1}{4}$,https://www.youtube.com/watch?v=aeQA5d3gZTI ,theta is equal to pi over 2 to the 1-4th.,And theta is equal to pi over 2 to the 1 fourth.,$N\theta:=\frac{\pi}{2^{1/4}}$
y cubed plus x cubed equals three xy,$y^{3} + x^{3} = 3xy$,https://www.youtube.com/watch?v=fK6cu99OSEU,y cubed plus x cubed equals 3xy.,y cubed plus x cubed equals 3xy.,$y^{3}+x^{3}=3xy$
four thirds cubed plus two thirds cubed is equal to three times two thirds times four thirds,$(4/3)^{3}+(2/3)^{3}=3\times(2/3)\times(4/3)$,https://www.youtube.com/watch?v=fK6cu99OSEU,4 thirds cubed plus 2 thirds cubed is equal to 3 times 2 thirds times 4 thirds.,4 thirds cubed plus 2 thirds cubed is equal to 3 times 2 thirds times 4 thirds.,$(4/3)^{3}+(2/3)^{3}~{}=~{}3\times(2/3)\times(4/3)$
y minus x squared over y squared minus x,$ \frac{y - x^{2}} {y^{2} - x}$,https://www.youtube.com/watch?v=fK6cu99OSEU,y minus x squared over y squared minus x.,y minus x squared over y squared minus x.,$y-\frac{x^{2}}{y^{2}-x}$
6 minus 16 over 4 minus 12,$\frac{6 - 16}{4 - 12}$,https://www.youtube.com/watch?v=fK6cu99OSEU,6 minus 16 over 4 minus 12.,6 minus 16 over 4 minus 12.,$6-\frac{16}{4}-12$
d over dx of tan x is equal to secant squared of x,$\frac{\mathrm{d}}{\mathrm{dx}}(\tan x) = \mathrm{\sec^2(x)}$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,The d over dx of tan x is equal to c-cat squared of x.,d over dx of tan x is equal to secant squared of x.,$\mathrm{d}/\mathrm{d}x(\tanx):=\mathrm{sech}^{2}(x)$
pi over two,$\frac{\pi}{2}$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,High over two.,Pi over 2.,$\frac{\pi}{2}$
y equals arctan x,$y = \arctan x$,https://www.youtube.com/watch?v=aYMt2ZVGd7g,y equals arc tan x.,y equals arctan x.,$y=\arctanx$
dy dx is equal to minus 1 divided by sine y,$\frac{dy}{dx} = -\frac{1}{\sin y}$,https://www.youtube.com/watch?v=cdRMY39EYbs,d x is equal to minus 1 divided by sine y.,dy dx is equal to minus 1 divided by sine y.,$dydx\mathrel{\mathop{:}}=-\frac{1}{\siny}$
square root of 1 minus x squared,$\sqrt{1 - x^{2}}$,https://www.youtube.com/watch?v=cdRMY39EYbs,squared of 1 minus x squared.,The square root of 1 minus x squared.,$\sqrt{1-x^{2}}$
f of x is equal to x to the pi plus pi to the x,$f(x) = x^{\pi} + \pi^{x}$,https://www.youtube.com/watch?v=wezQdmwolMU,f of x is equal to x to the pi plus pi to the x.,f of x is equal to x to the pi plus pi to the x.,$f(x):=x^{\pi}+\pi^{x}$
g of x is equal to natural log of cosine of x,$g(x) = \ln(\cos(x))$,https://www.youtube.com/watch?v=wezQdmwolMU,G of X is equal to natural log of cosine of X.,G of x is equal to natural log of cosine of x.,$g(x):=\ln(\cos(x))$
pi times x to the pi minus 1,$\pi x^{\pi - 1}$,https://www.youtube.com/watch?v=wezQdmwolMU,pi times x to the pi minus 1.,Pi times x to the pi minus 1.,$\piX^{\pi}-1$
x times pi to the x minus 1,$x \cdot \pi^{x-1}$,https://www.youtube.com/watch?v=wezQdmwolMU,x times pi to the x minus 1.,x times pi to the x minus 1.,$x\cdot\pi^{x-1}$
1 over cosine x,$\frac{1}{\cos x}$,https://www.youtube.com/watch?v=wezQdmwolMU,1 over cosine x.,1 over cosine x.,$\frac{1}{\cosx}$
e to the x squared,$\mathrm{e}^{x^{2}}$,https://www.youtube.com/watch?v=wezQdmwolMU,e to the x squared.,e to the x squared,$\displaystyle\mathbb{E}\widetilde{X}^{2}$
natural log of e to the x squared,$\ln(e^{x^{2}})$,https://www.youtube.com/watch?v=wezQdmwolMU,natural log of e to the x squared.,natural log of e to the x squared.,$\ln(e^{x^{2}})$
x squared times natural log of e,$x^{2}\cdot\ln e$,https://www.youtube.com/watch?v=wezQdmwolMU,x squared times natural log of e.,x squared times natural log of e.,$x^{2}\cdot\lne$
natural log of e is equal to 1,$\ln(e)=1$,https://www.youtube.com/watch?v=wezQdmwolMU,The natural log of E is equal to 1.,Natural log of E is equal to 1.,$\ln(e):=1$
natural log of m times n is equal to the natural log of m plus natural log of n,$\ln(mn) = \ln(m) + \ln(n)$,https://www.youtube.com/watch?v=9YgOmJdom6o ,The natural log of m times n is equal to the natural log of m plus natural log of n.,So natural log of m times n is equal to natural log of m plus natural log of n.,$\tau\ln(mn):=\lnm+\lnn$
e to the a equals m,$e^\mathrm{a} = m$,https://www.youtube.com/watch?v=9YgOmJdom6o ,e to the a equals m.,E to the A equals M.,$\mathcal{E}^{a=m}$
a is equal to natural log of m,$a=\ln m$,https://www.youtube.com/watch?v=9YgOmJdom6o ,k is equal to natural log of m.,A is equal to natural log of m.,$A:=\ln(m)$
natural log of e to the a plus b,$\ln(e^{a+b})$,https://www.youtube.com/watch?v=9YgOmJdom6o ,This is a natural log of e to the a plus b.,This is the natural log of e to the a plus b.,$\text{MSE}(\ln(e^{A+B}))$
natural log of e to the x is x,$\ln(e^{x}) = x$,https://www.youtube.com/watch?v=9YgOmJdom6o ,Natural log of e to the x is x.,Natural log of e to the x is x.,$\ln(e^{x})$
1 half natural log x plus 1 half,$\frac{1}{2}\ln x + \frac{1}{2}$,https://www.youtube.com/watch?v=9YgOmJdom6o ,1 half natural log x plus 1 half,One-half natural log x plus one-half natural log x.,$\displaystyle\frac{1}{2}\lnx+\frac{1}{2}\lnx$
1 over 2x plus 1 over 2 times x plus 4,$\frac{1}{2x} + \frac{1}{2(x + 4)}$,https://www.youtube.com/watch?v=9YgOmJdom6o ,1 over 2x plus 1 over 2 times x plus 4.,1 over 2x plus 1 over 2 times x plus 4.,$\frac{1}{2x}+\frac{1}{2(x+4)}$
e to the x plus e to the minus x,$e^{x} + e^{-x}$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the x plus e to the minus x divided.,e to the x plus e to the minus x divided,$(e^{x}+e^{-x})/$
1 plus x squared,$1 + x^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,1 plus x squared.,1 plus x squared.,$(1+x^{2})$
1 plus 1 over 2,$1 + \frac{1}{2}$,https://www.youtube.com/watch?v=er_tQOBgo-I,1 plus 1 over 2 so that,1 plus 1 over 2. So that's.,$(1+\frac{1}{2})_{s}$
e to the x minus e to the minus x over 2,$e^{x} - e^{-x} \over 2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the x minus e to the minus x over 2.,e to the x minus e to the minus x over 2.,$e^{x}-e^{-x/2}$
x squared plus y squared equals 1,$x^{2} + y^{2} = 1$,https://www.youtube.com/watch?v=er_tQOBgo-I,x squared plus y squared equals 1.,x squared plus y squared equals 1.,$x^{2}+y^{2}=1$
x squared minus y squared,$x^{2} - y^{2}$,https://www.youtube.com/watch?v=er_tQOBgo-I,x squared minus y squared.,x squared minus y squared.,$x^{2}-y^{2}$
cosh squared u,$\cosh^{2}u$,https://www.youtube.com/watch?v=er_tQOBgo-I,Theופjlkladkin,cosh squared u,$\cosh^{2}u$
e to the u plus e to the minus u over 2 quantity squared,$(\frac{e^{u} + e^{-u}}{2})^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the u plus e to the minus u over 2 quantity squared.,e to the u plus e to the minus u over 2 quantity squared.,$(E^{u}+E^{-u/2})^{2}$
e to the u minus e to the minus u over 2 quantity squared,$( \frac {e^{u} - e^{-u}} {2} )^2$,https://www.youtube.com/watch?v=er_tQOBgo-I,e to the u minus e to the minus u over 2 quantity squared.,e to the u minus e to the minus u over 2 quantity squared. And,"$\displaystylee^{u}-e^{-\frac{u}{2}}\Big{)}^{2},\text{and}$"
2 times e to the u times e to the minus u,$2 e^{u}e^{-u}$,https://www.youtube.com/watch?v=er_tQOBgo-I,"two times e to the u times e to the minus u, but e to the","2 times e to the u times e to the minus u, but e to the-",$2e^{u}e^{-u}\bote^{-}$
2 plus e to the minus 2u minus e to the 2u minus 2,$2 + e^{-2u} - e^{2u} - 2$,https://www.youtube.com/watch?v=er_tQOBgo-I,2 plus e to the minus 2u minus e to the 2u minus 2u minus 2u.,2 plus e to the minus 2u minus e to the 2u minus 2.,$2+e^{-2u}-e^{2u-2}$
w of x plus one,$\displaystyle w(x) + 1$,https://www.youtube.com/watch?v=8gGbViZjoRw,W of x plus 1.,W of x plus 1.,$\displaystylew(x+1)$
w of x plus 2 times e to the w of x ,$w(x) + 2e^{w(x)}$ ,https://www.youtube.com/watch?v=8gGbViZjoRw,W of x plus 2 times e to the w of x.,W of x plus 2 times e to the w of x.,$w(x)+2e^{w(x)}$
1 over w of x plus 2 times e to the w of x,$\frac{1}{w(x)} + 2e^{w(x)}$,https://www.youtube.com/watch?v=8gGbViZjoRw,1 over w of x plus 2 times e to the w of x.,1 over w of x plus 2 times e to the w of x.,$\frac{1}{w(x)+2e^{w(x)}}$
w of one plus two times e to the w of one,$w(1) + 2 e^{w(1)}$,https://www.youtube.com/watch?v=8gGbViZjoRw,W of 1 plus 2 times e to the W of 1.,W of 1 plus 2 times e to the w of 1.,$w(1)+2e^{w(1)}$
1 half times x minus 1,$\frac{1}{2}(x - 1)$,https://www.youtube.com/watch?v=8gGbViZjoRw,1 1 half times x minus 1.,1 half times x minus 1.,$\frac{1}{2}X-1$
1 over x0 plus delta x,$ \frac{1}{x_{0} +\Delta x}$,https://www.youtube.com/watch?v=7K1sB05pE0A,1 over x0 plus delta x.,1 over x0 plus delta x.,$\frac{1}{x_{0}+\Deltax}$
minus 1 over x0 plus delta x times x0,$\displaystyle-\frac{1}{x_{0} + \Delta x x_{0}}$,https://www.youtube.com/watch?v=7K1sB05pE0A,minus 1 over x0 plus delta x times x0.,Minus 1 over x0 plus delta x times x0.,$-\frac{1}{X_{0}+\DeltaX}X_{0}$
minus 1 over 3 plus delta x times 3,$-\frac{1}{3} + \Delta x \times 3$,https://www.youtube.com/watch?v=7K1sB05pE0A,minus 1 over 3 plus delta x times 3.,Minus 1 over 3 plus delta x times 3.,$-\frac{1}{3}+\Deltax(3)$
minus 1 over x0 squared x minus x0,$-\frac{1}{x_{0}^{2}}(x-x_{0})$,https://www.youtube.com/watch?v=7K1sB05pE0A,"minus 1 over x0 squared, x minus x0.",Minus 1 over x0 squared. x minus x0.,$\displaystyle-\frac{1}{x_{0}^{2}}(x-x_{0})$
delta f is x plus delta x to the n minus x to the n divided by delta x,$\displaystyle \Delta f = \frac{(x + \Delta x)^{n} - x^{n}}{\Delta x}$,https://www.youtube.com/watch?v=7K1sB05pE0A,delta f is x plus delta x to the n minus x to the n divided by delta x.,Delta f is x plus delta x to the n minus x to the n divided by delta x.,$\displaystyle\Deltaf(x+\Deltax^{n})-\frac{x^{n}}{\Deltax}$
x to the n plus n x to the n minus 1 delta x,$x^{n}+nx^{n-1}\Delta x$,https://www.youtube.com/watch?v=7K1sB05pE0A,x to the n plus n x to the n minus 1 delta x.,x to the n plus n x to the n minus 1 delta x.,$x^{n}+nx^{n-1}\Deltax$
n x to the n minus one,$nx^{n-1}$,https://www.youtube.com/watch?v=7K1sB05pE0A,and x to the n minus 1.,And x to the n minus 1.,$nx^{n-1}$
minus 1 over x squared,$-\frac{1}{x^{2}}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,minus 1 over x squared.,Minus 1 over x squared.,$-\frac{1}{x^{2}}$
x plus 3 over x squared plus 1,$\frac{x + 3}{x^{2} + 1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,x plus 3 over x squared plus 1.,x plus 3 over x squared plus 1.,$x+\frac{3}{x^{2}+1}$
4 plus 3 divided by 4 squared plus 1,$\frac{4+3}{4^{2}+1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,4 plus 3 divided by 4 squared plus 1.,4 plus 3 divided by 4 squared plus 1.,$\frac{4+3}{4^{2}+1}$
1 minus cosine x over x,$\frac{1 - \cos x}{x}$,https://www.youtube.com/watch?v=ryLdyDrBfvI,1 minus cosine x over x.,1 minus cosine x over x.,$1-\cosx/x$
the limit of 1 minus cosine x divided by x x goes to 0 is 0,$\lim_{x \to 0} \frac{1 - \cos x}{x} = 0$,https://www.youtube.com/watch?v=ryLdyDrBfvI,"The limit of 1 minus cosine x divided by x, x goes to 0, is 0.","The limit of 1 minus cosine x divided by x, x goes to 0, is 0.",$\lim\frac{1-\cosx}{x}\to0\quad\text{is}\quad0$
limit as x goes to x0 of f of x is equal to f of x0,$\lim_{x\to x_{0}}f(x)=f(x_{0})$,https://www.youtube.com/watch?v=ryLdyDrBfvI,The limit as x goes to x0 of f of x is equal to f of x0.,The limit as x goes to x0 of f of x is equal to f of x0.,$\lim_{x\tox^{0}}f(x)=f(x^{0})$
sine a cos b plus cos a sin b,$\sin(a)\cos(b)+\cos(a)\sin(b)$,https://www.youtube.com/watch?v=kCPVBl953eY,sine a cos b plus cos a sine b.,Sine a cos b plus cos a sine b.,$\displaystyle\sinA\cosB+\cosA\sinB$
cosine delta x minus 1 divided by delta x,$\cos\Delta x - 1 \over \Delta x$,https://www.youtube.com/watch?v=kCPVBl953eY,cosine delta x minus 1 divided by delta x.,Cosine delta x minus 1 divided by delta x.,$\cos\Deltax-1/\Deltax$
minus cosine x divided by delta x,$-\frac{\cos x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,minus cosine x divided by delta x.,minus cosine x divided by delta x.,$-\cosx/\Deltax$
sine delta x divided by delta x,$\frac{\sin\Delta x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,sine delta x divided by delta x.,Sine delta x divided by delta x.,$\sin\Deltax/\Deltax$
cosine delta x minus 1 divided by delta x,$\frac{\cos\Delta x - 1}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,cosine delta x minus 1 divided by delta x.,Cosine delta x minus 1 divided by delta x.,$\cos\Deltax-1/\Deltax$
the limit as delta x goes to 0 of sine delta x over delta x,$\lim_{\Delta x\to 0} \frac{\sin \Delta x}{\Delta x}$,https://www.youtube.com/watch?v=kCPVBl953eY,The limit is delta x goes to 0 of sine delta x over delta x.,The limit as delta x goes to 0 of sine delta x over delta x.,$\lim_{\Deltax\to0}\sin\Deltax/\Deltax$
delta y over delta theta,$\frac{\Delta y}{\Delta \theta}$,https://www.youtube.com/watch?v=kCPVBl953eY,"Delta Y, over delta theta.",delta y over delta theta.,$\deltay/\delta\theta$
u prime v minus u v prime,$u^{\prime}v-uv^{\prime}$,https://www.youtube.com/watch?v=kCPVBl953eY,You prime the minus UV prime.,u' v minus u v'.,$u^{\prime}v-uv^{\prime}$
n x to the n minus 1,$nx^{n-1}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,And next to the N-1.,And x to the n minus 1.,$nx^{n-1}$
x to the n times sine of x,$x^{n}\sin(x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,x to the n times sine of x.,x to the n times sine of x.,$x^{n}\sin(x)$
u times v of x plus delta x,$uv(x + \Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u times the of x plus delta x.,u times v of x plus delta x.,$uV(x+\Deltax)$
delta of uv divided by delta x,$\frac{\Delta (uv)}{\Delta x}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,delta of uv divided by delta x.,Delta of uv divided by delta x.,$\delta(uv)/\deltax$
delta u divided by delta x times v of x plus delta x,$\frac{\Delta u}{\Delta x}\cdot v(x+\Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,delta u divided by delta x times v of x plus delta x.,V delta u divided by delta x times V of x plus delta x.,$\displaystyle\frac{V(\deltau)}{\deltax}V(x+\deltax)$
u of x plus delta x times v of x plus delta x,$u(x+\Delta x)v(x+\Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u of x plus delta x times v of x plus delta x.,u of x plus delta x times v of x plus delta x.,$u(x+\Deltax)v(x+\Deltax)$
